work_path	target_path	target_sha256	spec_sha256	rulebook_sha256	gap_sha256	judge_sha256	toolchain_sha256	result	evidence_path	evidence_sha256	verified_at
migration/items/B6-apps-channel-kt-test.md	manager/src/test/java/moe/shizuku/manager/flutter/AppsChannelTest.kt	0d61ad1ecc9a3b000132e37a3fc7e8e091980c95b56f2d4b9a1b7a7b7863fa81	6b3d0be58676905ed8120e60279e03b67ab641e0457270fa502946ef0b8a4204	e109941ab9f71745033857a13137b01e119445084f522ebdfa82741d71da76e3	9f689186640856d613c54c68c51b25d4f9d9ea2d7f197dbb80cd891106be46b8	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave1/flutter-test.log	4faf96f461b87519e1310c5a1a3bba28426a3f47722f6c3eb6f1c6f4f619f706	2026-09-05T15:54:31Z
migration/items/A1-liquid-glass.md	manager_flutter/lib/onetools/liquid_glass.dart	7641955eae8ac6d61b255cf9ba269d457036a70e619006b5d71f58d360020656	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/A2-glass-dock.md	manager_flutter/lib/nav/glass_dock.dart	50557223da74350304d3c7c0241276a64ac1c6d4fd1f572d6cc6426d491fa4a6	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/A3-glass-choice-dialog.md	manager_flutter/lib/widgets/glass_choice_dialog.dart	776299def3c9f4def9863d92e6cfa0aeb7a4fbffede1246e462ca73e03d3c611	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/A4-app-shell.md	manager_flutter/lib/nav/app_shell.dart	79cd3d8247f9ba273e75d71fda1ed1329d0bcd1a4129c09d8e01e79f10a9a5de	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/A5-app-shell-test.md	manager_flutter/test/app_shell_test.dart	faa5006e3a06d991c3075e2c9ccbd7de1c3e2440d044799797cf2134a359a584	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/B1-apps-channel-kt.md	manager/src/main/java/moe/shizuku/manager/flutter/AppsChannel.kt	973eb6c8ca6194cf0926f4595207475814f9dcd0811ed1abdb4a035e39fc3406	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/B2-apps-models.md	manager_flutter/lib/apps/apps_models.dart	0ef6952fb32d80a5a78064a5cdd5afc6af9a429113304f89b551b0888399ece0	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/B3-apps-channel-dart.md	manager_flutter/lib/apps/apps_channel.dart	c91803dec743809de678f2e7f5358a197f95fae1e41a288b892d3fc37929c402	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
migration/items/B4-apps-screen.md	manager_flutter/lib/apps/apps_screen.dart	1aa0ef242e82e4d1d2f42457ac5b521ec4626187836f943e97f7e0c94a7347df	3f3ee10d40b0f96b98e0ca7c0ccd6616f10f886ef6bcf130b230739ca1124ba3	e7dcc3c20adddbe5a41e6cead6d5514b480efca9b1ebb4ea24fd0b627749b568	7e0672ee7b2f10004be208d6cdeff3ec02e24ad3353c2696eda7114d0d166c8b	3dad077769a75ecf4c4e0dcc0412cd4b33bb1564ca07fe9a5e914b0002af95f8	b4ba109f42dcbaa5b9ae397a1f4bd2da7fa979382ccee1fa9f9339034abfc2f6	PASS	migration/evidence/wave2/flutter-test.log	abbd4067dcb3c543baf37cf939af16bcb888398794633391609bf780f0d4033c	2026-09-05T16:34:47Z
